acceptedTaxonKey,accepetedTaxonName,TropicosNameID,FullNameWithAuthors,taxonRank,id_name_APD,taxonid_IUCN,redlistCategory,redlistCriteria,yearPublished,EOO,AOO,elevation_upper,elevation_lower,assessmentDate,assessor,reviewer,populationTrend
1620,Copaifera religiosa,13045906,Copaifera religiosa J. Léonard,Species,63555,62021830,VU,A2cd+3cd+4cd,2019,145454,NA,NA,NA,14/02/2019,"Hills, R.","Onana, J.-M. & van der Burgt, X.",Decreasing
1623,Cordia aurantiaca,4001621,Cordia aurantiaca Baker,Species,77139,143656104,LC,NA,2019,1621294.80,236.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
8200,Cordia letestui,100530745,,Species,,,,,,,,,,,,,
7510,Cordia millenii,4002736,Cordia millenii Baker,Species,77175,33042,LR/lc,NA,1998,NA,NA,NA,NA,01/01/1998,"African Regional Workshop (Conservation & Sustainable Management of Trees, Zimbabwe, July 1996)",0,NA
1628,Cordia stenoloba,100316129,Cordia stenoloba Gürke,Species,128329,173361868,EN,"B2ab(i,ii,iii,iv,v)",2020,29220.7,20,490,490,31/07/2020,"Simo-Droissart, M., Paradis, A.-H. & StÈvart, T.","Gereau, R.E., Lowry II, P.P. & Phillipson, P.",Decreasing
1632,Corynanthe johimbe,50095296,Corynanthe johimbe K. Schum.,Species,88831,143712526,LC,NA,2019,501006.66,184.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
7361,Corynanthe lane-poolei,50095300,Corynanthe lane-poolei Hutch.,Species,88832,,,,,,,,,,,,
7320,Corynanthe lane-poolei subsp. ituriense,100452532,Corynanthe lane-poolei subsp. ituriense (De Wild.) Å. Kruger & Löfstr.,Subspecies,,,,,,,,,,,,,
6655,Corynanthe macroceras,50109151,Corynanthe macroceras K. Schum.,Species,88833,143710961,LC,NA,2019,2798305.87,152.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
1633,Corynanthe mayumbensis,27907402,Corynanthe mayumbensis (R.D. Good) Raym.-Hamet ex N. Hallé,Species,88834,143714784,LC,NA,2019,96765.48,212.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Timberlake, J.R.",Stable
1634,Corynanthe pachyceras,27909373,Corynanthe pachyceras K. Schum.,Species,88836,136113695,LC,NA,2018,3275039.92,476.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
1635,Corynanthe paniculata,50095314,Corynanthe paniculata Welw.,Species,88837,,,,,,,,,,,,
1661,Coula edulis,22900193,Coula edulis Baill.,Species,17752,61918215,LC,NA,2018,1714445.02,660.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
1663,Craibia laurentii,13057653,Craibia laurentii (De Wild.) De Wild.,Species,69500,173478461,LC,NA,2021,2541669.3,NA,1680,200,10/03/2021,"Simo-Droissart, M., Bidault, E., Bouka, D.U.G., Boupoya, A., Ikabanga, D.U., Lachenaud, O., Mboma, R., Paradis, A.-H., Texier, N. & StÈvart, T.","Hills, R.",Decreasing
1664,Craibia lujae,13057654,,Species,69501,173478510,LC,NA,2021,927944.1,NA,570,200,17/11/2020,"Simo-Droissart, M. & StÈvart, T.","Hills, R.",Unknown
1665,Craibia macrantha,13057663,Craibia macrantha (Pellegr.) J.B. Gillett,Species,69502,173478566,EN,"B2ab(iii,v)",2021,28857.3,16,460,350,28/07/2020,"Simo-Droissart, M., Ikabanga, D.U., Bidault, E., Paradis, A.-H., Texier, N. & StÈvart, T.","Hills, R.",Decreasing
1666,Craibia simplex,13057650,Craibia simplex Dunn,Species,69503,173478527,VU,"B2ab(i,ii,iii,iv,v)",2021,51513.2,48,200,1,10/03/2021,"Simo-Droissart, M., Bidault, E., Bouka, D.U.G., Boupoya, A., Ikabanga, D.U., Lachenaud, O., Mboma, R., Paradis, A.-H., Texier, N. & StÈvart, T.","Hills, R.",Decreasing
1672,Crateranthus congolensis,100172941,Crateranthus congolensis Lecomte,Species,180167,172490370,EN,B2ab(iii),2021,63616,24,800,100,09/07/2020,"Paradis, A.-H. & StÈvart, T.","Lachenaud, O., Bidault, E., Texier, N., Barber·, P., Ikabanga, D.U., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
6829,Crateranthus letestui,100172942,,Species,,172490410,VU,B2ab(iii),2021,76838,68,250,30,07/07/2020,"Paradis, A.-H. & StÈvart, T.","Bidault, E., Texier, N., Lachenaud, O., Ikabanga, D.U., Simo-Droissart, M. & Andriamahefarivo, L.",Unknown
1674,Crateranthus talbotii,17900333,Crateranthus talbotii Baker f.,Species,30267,32706,VU,A2c,2004,NA,NA,NA,NA,30/04/2004,"Darbyshire, I. & Cheek, M.","Hilton-Taylor, C. & Pollock, C.M. (Red List Programme Office)",Decreasing
1675,Craterispermum caudatum,27909375,Craterispermum caudatum Hutch.,Species,88457,136113957,LC,NA,2018,1392480.30,328.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Vroh, B.",Stable
1676,Craterispermum cerinanthum,27909376,Craterispermum cerinanthum Hiern,Species,88458,191512672,LC,NA,2021,3400957,NA,NA,NA,03/02/2021,"Harvey-Brown, Y.","Taedoumg, H.",Stable
1679,Craterispermum gabonicum,100463074,Craterispermum gabonicum Taedoumg & De Block,Species,237875,,,,,,,,,,,,
1684,Craterispermum ledermannii,27909441,Craterispermum ledermannii K. Krause,Species,88466,,,,,,,,,,,,
1688,Craterispermum parvifolium,100368360,Craterispermum parvifolium Taedoumg & Sonké,Species,227197,,,,,,,,,,,,
1690,Craterispermum schweinfurthii,27906846,Craterispermum schweinfurthii Hiern,Species,88448,146220635,LC,NA,2019,5807983.75,684.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Smith, P.",Stable
1712,Crioceras dipladeniiflorus,1805248,Crioceras dipladeniiflorus K. Schum.,Species,75549,,,,,,,,,,,,
1715,Crossopteryx febrifuga,27904659,Crossopteryx febrifuga (Afzel. ex G. Don) Benth.,Species,,146203214,LC,NA,2019,15118883.05,6332.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"Smith, P.",Stable
1733,Croton brieyi,50241114,Croton brieyi De Wild.,Species,107173,173431777,NT,NA,2021,67305,64,300,50,08/03/2021,"Barber·, P., Ikabanga, D.U., Bouka, D.U.G., Bidault, E., Texier, N., Paradis, A.-H., Simo-Droissart, M. & StÈvart, T.","Hills, R.",Unknown
1736,Croton longiracemosus,12806046,Croton longiracemosus Hutch.,Species,107191,,,,,,,,,,,,
1738,Croton mayumbensis,50253560,Croton mayumbensis J. Léonard,Species,107193,203236451,LC,,2022,1697531,168,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1740,Croton oligandrus,12804117,Croton oligandrus Pierre ex Hutch.,Species,107199,204816446,LC,,2022,486597,216,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
1742,Croton sylvaticus,12802913,Croton sylvaticus Hochst.,Species,107168,146440274,LC,NA,2020,13184114.17,616.00,NA,NA,12/06/2018,Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group,"von Staden, L. & Hilton-Taylor, C.",Stable
1743,Croton tchibangensis,12804120,Croton tchibangensis Pellegr.,Species,126313,128048613,EN,B1ab(iii)+2ab(iii),2021,3332,20,300,30,22/10/2020,"Barber·, P. & StÈvart, T.","Andriamahefarivo, L., Bidault, E., Bouka, D.U.G., Ikabanga, D.U., Lachenaud, O., Paradis, A.-H. & Texier, N.",Unknown
1745,Croton wellensii,12804121,Croton wellensii De Wild.,Species,107208,,,,,,,,,,,,
1746,Crotonogyne gabunensis,50257900,Crotonogyne gabunensis Pax,Species,108011,170124209,LC,NA,2020,201186.52,360.00,NA,NA,12/06/2018,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Wieringa, J.",Stable
1753,Crudia gabonensis,13051895,Crudia gabonensis Pierre ex Harms,Species,70158,204799222,LC,,2022,1452693,344,,,17/05/2021,IUCN SSC Global Tree Specialist Group & Botanic Gardens Conservation International (BGCI),"Onana, J.-M., Texier, N. & Stévart, T.",Stable
